ArraySize,S,TotalKeyCmp,KeyCmpInsertionSort,Runtime
1000, 20, 10228, 4341, 0.3087
10000, 20, 143844, 54826, 4.3122
100000, 20, 1639722, 355195, 48.1202
1000000, 20, 20225733, 4352018, 527.15
10000000, 20, 242332523, 53347890, 6499.42
