ArraySize,S,TotalKeyCmp,KeyCmpInsertionSort,Runtime
1000, 37, 13395, 8456, 0.3275
1000, 60, 13395, 8456, 0.3312
10000, 37, 143844, 54826, 3.9552
10000, 60, 183142, 103648, 3.72
100000, 37, 1862508, 670504, 42.0865
100000, 60, 2380698, 1284737, 42.9996
1000000, 37, 23201902, 8266274, 486.012
1000000, 60, 23201902, 8266274, 487.039
10000000, 37, 242332523, 53347890, 5981.02
10000000, 60, 281253476, 101769647, 5937.85
